,text,labels
0,@RanaSa1983 الله أكبر👆😂يعني بفهم من هل حكي انو @waelkfoury عم بغني هيك مشان سعادتنا 😂ميررسي كتتير كتتير 😘😂,Religion
1,https://t.co/htGGbKu5jMشكلو المعتزل عم يتذكر دموعو :-D,None
2,مهما كان عقلك ذكياً لابد أن يقودك قلبك للغباء #صباحيات #المتألقات_السوريات https://t.co/ReT9re9113,None
3,يا منْ لمْ ترضى الذِّل والهوان، يا حامي سوريّة الأبيّة..يطوّل عمرك ويحميك ويديمك سند لهالبلد#ميلاد_الأسد_بشار https://t.co/04cHkaN1nc,Pro-Regime
4,@Rimaz_Subaie بلش افتحي,None
5,@yebtweets عم يعيش اللحظة😂,None
6,"#الفرقة_13 من #الجيش_الحر تزف نبأ استشهاد الإعلامي الهُمام ""نورس قيطاز"" على جبهات #حلب تقبله الله.#جيش_إدلب_الحر https://t.co/j1NHAsBZyX",None
7,@2SyrHaboosh @marahbaddour @Hind__Sy 😂😂😂😂😂حبيت هبوش,None
8,@NajwaKaram حُبِك عرش قلبي اعتلى ⁦❤️⁩#NajwaKaramInMawazine2017,Entertainment
9,@NajwaKaramكلّو عم يسألني عنّكبدّو يعرف انتَ مين..يلّي آخد قلبي وعقليوخلّاني من العاشقين..#HabibiMin #نجوى كرم https://t.co/U0JWsmMdQa,Entertainment
10,قالوا مشينا وماتودعنامتل حبوب اللولو وقعنا.. حبة.. حبةكل الإشيا يلي بتجمعنابطّل هلئ الها معنىوصارت ..كذبة!!! 💔 https://t.co/LfdrgQXvDL,None
11,"@amarup @Sara_almasri7 @Lujina5 @_HASHMi2 ليس المؤمن بالطعان ، ولا اللعان ، ولا الفاحش ، ولا البذي ""حديث صحيح على شرط الشيخين",None
12,@waelboy يب,None
13,@TaHeR_OtHmAnn 8 % بس معجبين ومتقاربة 😳,None
14,#رسالة صباحية : حس بجمال النعم الصغيرة من حولك وأفرح بأشياءك البسيطة خليك دائمًا مبتسم و على لسانك 🌼🍃 الحمدلله🍃🌼… https://t.co/RxAfHrDFLf,Religion
15,مرحباممكن تساعدني بنشر هاد الحساب@aldouman_online اول موقع بحري باللغة العربيةمعني بكل الامور البحرية مهنياً وعملياً واخبارياً,None
16,@sanfuraroro @danah_darweesh4 ما بيعرفوا انو نحنا دائماً،. خلف الكواليس 😂😂😂😂🔫🔫🔫,None
17,السناب شات فكرتو الوحيدة انو بيفرجيك انو العالم الي عندك يا اما فنانين يا اما ناس عم تسافر وبس ✋🏼,Entertainment
18,كل حروفي وكلامي مش ممكن تكفيك 😍❤😘🎶@waelkfoury https://t.co/iZJCEzi20R,None
